decile,mean_score,median_score,top10_score_mean_within_decile,true_top10_score_hit_rate,true_top10_score_enrichment,n_mean
1,0.247803,0.206540,0.568237,0.009175,0.091747,1143.500000
2,0.349435,0.334670,0.640358,0.028038,0.280381,1143.500000
3,0.388815,0.365833,0.661007,0.037756,0.377557,1143.500000
4,0.399219,0.379175,0.680271,0.057092,0.570920,1143.500000
5,0.399447,0.381606,0.683200,0.061306,0.613061,1143.500000
6,0.416015,0.422295,0.689482,0.071902,0.719023,1143.500000
7,0.423652,0.445972,0.696005,0.084071,0.840705,1143.500000
8,0.438020,0.479123,0.698966,0.106157,1.061567,1143.500000
9,0.476674,0.520403,0.724170,0.158404,1.584039,1143.500000
10,0.564674,0.595662,0.766647,0.387787,3.877871,1143.500000
