target,setting,kept,auc10,top10,top100,random_std
amlodipine,raw,11160,0.7581501823153515,0.8262508312668487,0.7925572634129746,
amlodipine,score_only_runq0.9,2915,0.8069987227087193,0.824320293414555,0.7903045530350328,
amlodipine,trend_only,5473,0.7778515592295082,0.8185026747940297,0.7861068517732995,
amlodipine,score_plus_trend_runq0.9,1913,0.8052599853940839,0.8183243022203024,0.7849446359572825,
amlodipine,random_keep_rate_matched,1913,0.7929823035030539,,,0.004522280932401411
fexofenadine,raw,10920,0.8483213922625344,0.9042517050793346,0.8856642509694491,
fexofenadine,score_only_runq0.9,3429,0.8814025980525075,0.9040524283420712,0.8851034437951495,
fexofenadine,trend_only,5817,0.8713675153020024,0.9040524283420712,0.8767436162685658,
fexofenadine,score_plus_trend_runq0.9,2089,0.8869869823987286,0.9040524283420712,0.8748357525666247,
fexofenadine,random_keep_rate_matched,2089,0.8780575245485371,,,0.001940134188157738
osimertinib,raw,10580,0.8699919838169049,0.9001131035327579,0.8869027871785726,
osimertinib,score_only_runq0.9,3009,0.8840020635165625,0.8966923903407187,0.884058826776911,
osimertinib,trend_only,6672,0.8790615706046777,0.9001131035327579,0.8860472767853114,
osimertinib,score_plus_trend_runq0.9,2517,0.8855485273474427,0.8966694809356979,0.8828983476422853,
osimertinib,random_keep_rate_matched,2517,0.8813587849526671,,,0.0018848753982650547
perindopril,raw,11140,0.6309482219778073,0.6820279758996566,0.6641140291054006,
perindopril,score_only_runq0.9,2236,0.664157196514785,0.6760469865324044,0.6609819799905694,
perindopril,trend_only,6999,0.6431204946006489,0.6734696378163345,0.6598607288000119,
perindopril,score_plus_trend_runq0.9,2084,0.6629533436856268,0.6734696378163345,0.6596067970050865,
perindopril,random_keep_rate_matched,2084,0.6584388337163154,,,0.0021764124837822885
qed,raw,12760,0.9394390598189061,0.9470253086620192,0.94558763289579,
qed,score_only_runq0.9,995,0.9410400586769463,0.9467049858722717,0.9259832261208213,
qed,trend_only,8416,0.9400880503551038,0.9469983128173161,0.9451633074663475,
qed,score_plus_trend_runq0.9,872,0.9413204193165684,0.9467049858722717,0.9254520640119551,
qed,random_keep_rate_matched,872,0.9412444338513662,,,0.0002255374156807817
ranolazine,raw,10620,0.787177546889911,0.8326105304355004,0.8208932673674824,
ranolazine,score_only_runq0.9,2567,0.8159266696294123,0.8323860696278681,0.8196620036988866,
ranolazine,trend_only,5319,0.7995777275604113,0.824282847973959,0.805057468769788,
ranolazine,score_plus_trend_runq0.9,1607,0.8131179176715354,0.824282847973959,0.8039485963350168,
ranolazine,random_keep_rate_matched,1607,0.8140913045274942,,,0.0019506516166135238
sitagliptin,raw,12840,0.5649608771660769,0.7027064446068056,0.586808361997719,
sitagliptin,score_only_runq0.9,2916,0.6615410865931671,0.6982222672340047,0.5368659316292497,
sitagliptin,trend_only,9057,0.6005555641770012,0.7016330922435561,0.5677991195038257,
sitagliptin,score_plus_trend_runq0.9,2610,0.6669855570161952,0.6982222672340047,0.5335130679324388,
sitagliptin,random_keep_rate_matched,2610,0.6329749611519199,,,0.009397874852295316
zaleplon,raw,11460,0.5067843059339389,0.5950945450338757,0.5232932166473117,
zaleplon,score_only_runq0.9,1361,0.5828892051802964,0.5950945450338757,0.5146823068598771,
zaleplon,trend_only,9077,0.5229936300908766,0.5950945450338757,0.5231859230731072,
zaleplon,score_plus_trend_runq0.9,1207,0.5845640978468598,0.5950945450338757,0.5140113624514884,
zaleplon,random_keep_rate_matched,1207,0.5332227827353663,,,0.010633161417703646
