target,setting,kept,auc10,top10,top100,random_std
amlodipine,raw,11160,0.7581501823153515,0.8262508312668487,0.7925572634129746,
amlodipine,score_only_w1000_q0.9,3653,0.79156386893163,0.824320293414555,0.7903045530350328,
amlodipine,trend_only_w1000,6001,0.7673314792002601,0.8185026747940297,0.7861068517732995,
amlodipine,score_plus_trend_w1000_q0.9,2778,0.7877555240871692,0.8183243022203024,0.7849446359572825,
amlodipine,random_keep_rate_matched_w1000,2778,0.7764709181078017,,,0.0035751312415966308
fexofenadine,raw,10920,0.8483213922625344,0.9042517050793346,0.8856642509694491,
fexofenadine,score_only_w1000_q0.9,3988,0.8743669493872661,0.9040524283420712,0.8851034437951495,
fexofenadine,trend_only_w1000,6267,0.8653123076159358,0.9040524283420712,0.8767436162685658,
fexofenadine,score_plus_trend_w1000_q0.9,2802,0.8774325917656995,0.9040524283420712,0.8748357525666247,
fexofenadine,random_keep_rate_matched_w1000,2802,0.8685300636454559,,,0.0019294582381187652
osimertinib,raw,10580,0.8699919838169049,0.9001131035327579,0.8869027871785726,
osimertinib,score_only_w1000_q0.9,3626,0.8803986871193752,0.8966923903407187,0.884058826776911,
osimertinib,trend_only_w1000,7107,0.8763073756669877,0.9001131035327579,0.8860472767853114,
osimertinib,score_plus_trend_w1000_q0.9,3251,0.8808396857260384,0.8966694809356979,0.8828983476422853,
osimertinib,random_keep_rate_matched_w1000,3251,0.8770316493565076,,,0.0015368848843658556
perindopril,raw,11140,0.6309482219778073,0.6820279758996566,0.6641140291054006,
perindopril,score_only_w1000_q0.9,2947,0.6555020846359525,0.6760469865324044,0.6609819799905694,
perindopril,trend_only_w1000,7243,0.6402500017098993,0.6734696378163345,0.6598607288000119,
perindopril,score_plus_trend_w1000_q0.9,2852,0.6536821625646866,0.6734696378163345,0.6596067970050865,
perindopril,random_keep_rate_matched_w1000,2852,0.6487482709139445,,,0.002073896164873482
qed,raw,12760,0.9394390598189061,0.9470253086620192,0.94558763289579,
qed,score_only_w1000_q0.9,1767,0.939996993217594,0.9467049858722717,0.9329310223209353,
qed,trend_only_w1000,8732,0.9395674179631611,0.9469983128173161,0.9451633074663475,
qed,score_plus_trend_w1000_q0.9,1722,0.9400033934188252,0.9467049858722717,0.9329006210683586,
qed,random_keep_rate_matched_w1000,1722,0.9396900396101144,,,0.00022586586862051198
ranolazine,raw,10620,0.787177546889911,0.8326105304355004,0.8208932673674824,
ranolazine,score_only_w1000_q0.9,3144,0.8099075382202315,0.8323860696278681,0.8196620036988866,
ranolazine,trend_only_w1000,5818,0.7946063494502238,0.824282847973959,0.805057468769788,
ranolazine,score_plus_trend_w1000_q0.9,2353,0.8051129402582777,0.824282847973959,0.8039485963350168,
ranolazine,random_keep_rate_matched_w1000,2353,0.8048141532471689,,,0.0019074329329204515
sitagliptin,raw,12840,0.5649608771660769,0.7027064446068056,0.586808361997719,
sitagliptin,score_only_w1000_q0.9,3645,0.6368703837041784,0.6982222672340047,0.5368659316292497,
sitagliptin,trend_only_w1000,9431,0.5867468180071422,0.7016330922435561,0.5677991195038257,
sitagliptin,score_plus_trend_w1000_q0.9,3427,0.6372443211399214,0.6982222672340047,0.5335130679324388,
sitagliptin,random_keep_rate_matched_w1000,3427,0.6048687270683923,,,0.00874291875941573
zaleplon,raw,11460,0.5067843059339389,0.5950945450338757,0.5232932166473117,
zaleplon,score_only_w1000_q0.9,2122,0.5692916485729965,0.5950945450338757,0.5146823068598771,
zaleplon,trend_only_w1000,9301,0.5189347460193816,0.5950945450338757,0.5231859230731072,
zaleplon,score_plus_trend_w1000_q0.9,2041,0.5694525740589477,0.5950945450338757,0.5140113624514884,
zaleplon,random_keep_rate_matched_w1000,2041,0.5203251767078344,,,0.01016499619008306
